loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_f1_spam,eval_auc_roc,eval_avg_precision,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.475743408203125,3.6305596828460693,3.776726584673605e-06,0.11353315168029064,500,,,,,,,,,,,,,
0.3552939453125,1.2073931694030762,7.561021759697257e-06,0.22706630336058128,1000,,,,,,,,,,,,,
0.35362518310546875,2.942385196685791,1.1345316934720908e-05,0.3405994550408719,1500,,,,,,,,,,,,,
0.3494803161621094,2.659636974334717,1.512961210974456e-05,0.45413260672116257,2000,,,,,,,,,,,,,
0.34699981689453124,0.7962665557861328,1.8913907284768212e-05,0.5676657584014533,2500,,,,,,,,,,,,,
0.3536673889160156,2.464607000350952,2.2698202459791867e-05,0.6811989100817438,3000,,,,,,,,,,,,,
0.3527337951660156,0.946259617805481,2.6482497634815518e-05,0.7947320617620345,3500,,,,,,,,,,,,,
0.35206121826171877,0.9840164184570312,3.026679280983917e-05,0.9082652134423251,4000,,,,,,,,,,,,,
,,,1.0,4404,0.34249943494796753,0.4792824463598128,0.02902557014512785,0.757342576389296,0.3373972634604907,203.8403,262.303,1.369,,,,,
0.3443151550292969,2.016953229904175,3.405108798486282e-05,1.021798365122616,4500,,,,,,,,,,,,,
0.3430892333984375,1.3296809196472168,3.7835383159886475e-05,1.1353315168029066,5000,,,,,,,,,,,,,
0.3427340087890625,1.074101209640503,3.998988602659066e-05,1.248864668483197,5500,,,,,,,,,,,,,
0.34287423706054687,0.8543672561645508,3.988750848892217e-05,1.3623978201634879,6000,,,,,,,,,,,,,
0.33869390869140625,0.7366045117378235,3.967536910353482e-05,1.4759309718437783,6500,,,,,,,,,,,,,
0.34236083984375,0.7628089189529419,3.9354638696373306e-05,1.5894641235240692,7000,,,,,,,,,,,,,
0.3425243225097656,0.802088737487793,3.892708742191069e-05,1.7029972752043596,7500,,,,,,,,,,,,,
0.3354506530761719,1.130223035812378,3.8395074993426576e-05,1.8165304268846503,8000,,,,,,,,,,,,,
0.3399911193847656,0.6425581574440002,3.7761537659430534e-05,1.930063578564941,8500,,,,,,,,,,,,,
,,,2.0,8808,0.3387068212032318,0.5139860183187521,0.0980544747081712,0.7707358793843123,0.3530657724707098,203.8415,262.302,1.369,,,,,
0.33236370849609376,0.9461345672607422,3.702997199810968e-05,2.043596730245232,9000,,,,,,,,,,,,,
0.3228902587890625,1.2324061393737793,3.620441561924096e-05,2.1571298819255222,9500,,,,,,,,,,,,,
0.3278752136230469,1.2656018733978271,3.528942488007705e-05,2.270663033605813,10000,,,,,,,,,,,,,
0.31965557861328125,1.5960183143615723,3.429004973819468e-05,2.3841961852861036,10500,,,,,,,,,,,,,
0.32012869262695315,1.1430392265319824,3.3211805880096194e-05,2.497729336966394,11000,,,,,,,,,,,,,
0.3221244812011719,1.2005714178085327,3.2060644279390073e-05,2.611262488646685,11500,,,,,,,,,,,,,
0.3181372985839844,1.4745965003967285,3.084291835256322e-05,2.7247956403269757,12000,,,,,,,,,,,,,
0.3244068603515625,1.3141974210739136,2.9565348893616433e-05,2.838328792007266,12500,,,,,,,,,,,,,
0.32005355834960936,1.0479600429534912,2.8234986981093894e-05,2.9518619436875566,13000,,,,,,,,,,,,,
,,,3.0,13212,0.338138610124588,0.568269106176365,0.2087248322147651,0.768858304641352,0.35276545994310654,203.8642,262.273,1.369,,,,,
0.3013958740234375,1.3898168802261353,2.6859175062227472e-05,3.0653950953678475,13500,,,,,,,,,,,,,
0.2806592712402344,1.7743130922317505,2.544550642897792e-05,3.178928247048138,14000,,,,,,,,,,,,,
0.2816468811035156,2.197571277618408,2.4001783309630103e-05,3.292461398728429,14500,,,,,,,,,,,,,
0.28216693115234376,2.2506840229034424,2.2535973807240385e-05,3.4059945504087192,15000,,,,,,,,,,,,,
0.2777547607421875,2.15360426902771,2.1056167922598735e-05,3.51952770208901,15500,,,,,,,,,,,,,
0.28180111694335935,2.513153553009033,1.9570532904420808e-05,3.6330608537693005,16000,,,,,,,,,,,,,
0.28198968505859373,1.9994224309921265,1.8087268173198212e-05,3.7465940054495914,16500,,,,,,,,,,,,,
0.28221600341796876,2.985280752182007,1.661456006748842e-05,3.860127157129882,17000,,,,,,,,,,,,,
0.28052276611328125,2.322570323944092,1.5160536662405696e-05,3.9736603088101727,17500,,,,,,,,,,,,,
,,,4.0,17616,0.3620465099811554,0.5998556022583832,0.27761767531219983,0.7588707049920249,0.33520273826769476,203.8721,262.262,1.369,,,,,
0.24020046997070313,2.5096638202667236,1.3733222909675741e-05,4.087193460490464,18000,,,,,,,,,,,,,
0.22494125366210938,3.0482864379882812,1.2340496346842374e-05,4.200726612170754,18500,,,,,,,,,,,,,
0.2267212829589844,4.0298357009887695,1.0990043620072897e-05,4.3142597638510445,19000,,,,,,,,,,,,,
0.22543551635742187,3.502401828765869,9.689318060518844e-06,4.427792915531335,19500,,,,,,,,,,,,,
0.22243022155761719,3.920497179031372,8.445498548373875e-06,4.541326067211626,20000,,,,,,,,,,,,,
0.22417570495605468,5.102750301361084,7.265449891663456e-06,4.654859218891916,20500,,,,,,,,,,,,,
0.22444325256347655,3.4167752265930176,6.155684938441488e-06,4.768392370572207,21000,,,,,,,,,,,,,
0.22325886535644532,4.588013648986816,5.122328631501441e-06,4.881925522252498,21500,,,,,,,,,,,,,
0.22573500061035157,5.090214729309082,4.171084203989111e-06,4.995458673932788,22000,,,,,,,,,,,,,
,,,5.0,22020,0.41697201132774353,0.6010816972472793,0.2841808423542254,0.7442488769151496,0.31491283234118483,203.8751,262.259,1.368,,,,,
0.18564686584472656,4.203453540802002,3.30720170248799e-06,5.108991825613079,22500,,,,,,,,,,,,,
0.18549821472167968,3.4271090030670166,2.535449011302398e-06,5.22252497729337,23000,,,,,,,,,,,,,
0.17902705383300782,3.194549798965454,1.8600855378595683e-06,5.336058128973661,23500,,,,,,,,,,,,,
0.1848602294921875,4.621127128601074,1.2848387044642085e-06,5.449591280653951,24000,,,,,,,,,,,,,
0.1853118438720703,5.464681148529053,8.128833761509769e-07,5.5631244323342415,24500,,,,,,,,,,,,,
0.18734506225585937,5.845373153686523,4.4682433817516693e-07,5.676657584014532,25000,,,,,,,,,,,,,
0.18909489440917968,4.283572196960449,1.886819198507661e-07,5.790190735694823,25500,,,,,,,,,,,,,
0.18947988891601564,3.3948073387145996,3.9880844079882574e-08,5.903723887375113,26000,,,,,,,,,,,,,
,,,6.0,26424,0.4640578329563141,0.6077587912500587,0.30562566148335096,0.7364739030588245,0.306111938545119,203.8476,262.294,1.369,,,,,
,,,6.0,26424,,,,,,,,,30956.6446,81.928,0.854,3.887995294679664e+17,0.2866983965170084
